concept_id,registry_frozen_on,registry_sha256,slug,name_en,name_zh,category_group,taxonomy_category,sampling_role,wave,market,include_queries,exclude_queries,target_visual_assets,target_query_anchors,target_timestamp_sources,target_history_weeks,target_prospective_snapshot_weeks,collection_status,transfer_label
BT-C001,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,blind_box_collectible_figure,Blind-box collectible figure,盲盒潮玩手办,collectibles_hobbies,collectible_figure,mature_anchor,1,US,blind box collectible | blind box figure | designer toy blind box,subscription box | cardboard gift box,5,2,2,104,12,not_started,unassigned
BT-C007,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,clip_on_open_ear_earbuds,Clip-on open-ear earbuds,耳夹式开放耳机,personal_tech,headphones,emerging_candidate,1,CN,耳夹式耳机 | 开放式耳夹耳机 | 耳夹蓝牙耳机,耳骨夹饰品 | 骨传导挂脖耳机,5,2,2,104,12,not_started,unassigned
BT-C008,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,mini_thermal_label_printer,Mini thermal label printer,便携热敏标签机,personal_tech,small_appliance,stable_control,2,US,mini thermal label printer | portable bluetooth label maker | pocket label printer,photo printer | shipping label printer,5,2,2,104,12,not_started,unassigned
BT-C008,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,mini_thermal_label_printer,Mini thermal label printer,便携热敏标签机,personal_tech,small_appliance,stable_control,2,CN,便携热敏标签机 | 迷你标签打印机 | 蓝牙标签机,照片打印机 | 快递面单打印机,5,2,2,104,12,not_started,unassigned
BT-C009,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,magnetic_phone_wallet,Magnetic phone wallet,磁吸手机卡包,personal_tech,phone_accessory,ambiguity_probe,4,US,magnetic phone wallet | magsafe card holder | magnetic phone card wallet,phone grip stand | magnetic battery pack,5,2,2,104,12,not_started,unassigned
BT-C009,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,magnetic_phone_wallet,Magnetic phone wallet,磁吸手机卡包,personal_tech,phone_accessory,ambiguity_probe,4,CN,磁吸手机卡包 | 磁吸卡套 | 手机背贴卡包,磁吸手机支架 | 磁吸充电宝,5,2,2,104,12,not_started,unassigned
BT-C010,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,wearable_neck_fan,Wearable neck fan,挂脖风扇,personal_tech,small_appliance,seasonal_control,3,US,wearable neck fan | bladeless neck fan | personal neck fan,neck air conditioner | handheld fan,5,2,2,104,12,not_started,unassigned
BT-C010,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,wearable_neck_fan,Wearable neck fan,挂脖风扇,personal_tech,small_appliance,seasonal_control,3,CN,挂脖风扇 | 颈挂式风扇 | 无叶挂脖风扇,挂脖空调 | 手持小风扇,5,2,2,104,12,not_started,unassigned
BT-C011,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,sculptural_novelty_handbag,Sculptural novelty handbag,雕塑感异形手提包,fashion_accessories,handbag,emerging_candidate,1,US,sculptural handbag | novelty shaped purse | geometric statement bag,handbag sculpture decor | ordinary box bag,5,2,2,104,12,not_started,unassigned
BT-C011,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,sculptural_novelty_handbag,Sculptural novelty handbag,雕塑感异形手提包,fashion_accessories,handbag,emerging_candidate,1,CN,异形包 | 雕塑感手提包 | 几何造型包,包包摆件 | 普通方盒包,5,2,2,104,12,not_started,unassigned
BT-C012,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,crescent_shoulder_bag,Crescent shoulder bag,月牙腋下包,fashion_accessories,handbag,mature_anchor,2,US,crescent shoulder bag | half moon shoulder bag | crescent hobo bag,round moon purse | belt bag,5,2,2,104,12,not_started,unassigned
BT-C012,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,crescent_shoulder_bag,Crescent shoulder bag,月牙腋下包,fashion_accessories,handbag,mature_anchor,2,CN,月牙包 | 月牙腋下包 | 半月单肩包,圆形月亮包 | 腰包,5,2,2,104,12,not_started,unassigned
BT-C013,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,tote_organizer_insert,Tote organizer insert,托特包内胆收纳,fashion_accessories,handbag,stable_control,3,US,tote organizer insert | purse organizer insert | felt bag organizer,standalone tote bag | drawer organizer,5,2,2,104,12,not_started,unassigned
BT-C013,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,tote_organizer_insert,Tote organizer insert,托特包内胆收纳,fashion_accessories,handbag,stable_control,3,CN,包中包 | 托特包内胆 | 毛毡包包收纳,独立托特包 | 抽屉收纳盒,5,2,2,104,12,not_started,unassigned
BT-C014,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,decorative_bag_charm_chain,Decorative bag-charm chain,装饰包挂链,fashion_accessories,jewelry,ambiguity_probe,4,US,bag charm chain | purse charm chain | decorative bag chain,replacement bag strap | necklace chain,5,2,2,104,12,not_started,unassigned
BT-C014,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,decorative_bag_charm_chain,Decorative bag-charm chain,装饰包挂链,fashion_accessories,jewelry,ambiguity_probe,4,CN,包挂链 | 包包挂链 | 装饰包链,包包替换肩带 | 项链链条,5,2,2,104,12,not_started,unassigned
BT-C015,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,woven_beach_tote,Woven beach tote,编织沙滩托特包,fashion_accessories,handbag,seasonal_control,3,US,woven beach tote | straw beach bag | raffia summer tote,woven storage basket | picnic basket,5,2,2,104,12,not_started,unassigned
BT-C015,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,woven_beach_tote,Woven beach tote,编织沙滩托特包,fashion_accessories,handbag,seasonal_control,3,CN,编织沙滩包 | 草编托特包 | 拉菲草夏季包,编织收纳篮 | 野餐篮,5,2,2,104,12,not_started,unassigned
BT-C016,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,heated_eyelash_curler,Heated eyelash curler,电热睫毛夹,beauty_tools,beauty_tool,emerging_candidate,1,US,heated eyelash curler | electric lash curler | rechargeable eyelash curler,manual eyelash curler | lash lift kit,5,2,2,104,12,not_started,unassigned
BT-C016,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,heated_eyelash_curler,Heated eyelash curler,电热睫毛夹,beauty_tools,beauty_tool,emerging_candidate,1,CN,电热睫毛夹 | 加热睫毛器 | 充电睫毛夹,手动睫毛夹 | 睫毛烫套装,5,2,2,104,12,not_started,unassigned
BT-C017,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,heatless_curling_rod_set,Heatless curling rod set,免加热卷发带套装,beauty_tools,haircare,mature_anchor,2,US,heatless curling rod | overnight curling ribbon | no heat curl set,electric curling iron | foam hair rollers,5,2,2,104,12,not_started,unassigned
BT-C017,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,heatless_curling_rod_set,Heatless curling rod set,免加热卷发带套装,beauty_tools,haircare,mature_anchor,2,CN,免加热卷发棒 | 无热卷发带 | 睡眠卷发带,电卷发棒 | 海绵卷发器,5,2,2,104,12,not_started,unassigned
BT-C018,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,silicone_scalp_massager,Silicone scalp massager,硅胶头皮按摩刷,beauty_tools,haircare,stable_control,3,US,silicone scalp massager | shampoo scalp brush | manual scalp scrubber,electric scalp massager | pet grooming brush,5,2,2,104,12,not_started,unassigned
BT-C018,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,silicone_scalp_massager,Silicone scalp massager,硅胶头皮按摩刷,beauty_tools,haircare,stable_control,3,CN,硅胶头皮按摩梳 | 洗头按摩刷 | 手动头皮刷,电动头皮按摩器 | 宠物洗澡刷,5,2,2,104,12,not_started,unassigned
BT-C019,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,facial_ice_globes,Facial ice globes,面部冰球美容工具,beauty_tools,beauty_tool,ambiguity_probe,4,US,facial ice globes | cooling face globes | cryo facial globes,decorative glass orb | ice roller,5,2,2,104,12,not_started,unassigned
BT-C019,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,facial_ice_globes,Facial ice globes,面部冰球美容工具,beauty_tools,beauty_tool,ambiguity_probe,4,CN,面部冰球美容仪 | 美容冰球 | 冰敷美容球,玻璃装饰球 | 面部冰滚轮,5,2,2,104,12,not_started,unassigned
BT-C020,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,facial_cooling_roller,Facial cooling roller,面部冰敷滚轮,beauty_tools,beauty_tool,seasonal_control,3,US,facial cooling roller | ice face roller | reusable cold face roller,jade roller | paint roller,5,2,2,104,12,not_started,unassigned
BT-C020,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,facial_cooling_roller,Facial cooling roller,面部冰敷滚轮,beauty_tools,beauty_tool,seasonal_control,3,CN,面部冰敷滚轮 | 冰感美容滚轮 | 冷敷面部滚轮,玉石滚轮 | 油漆滚筒,5,2,2,104,12,not_started,unassigned
BT-C021,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,portable_mushroom_table_lamp,Portable mushroom table lamp,无线蘑菇台灯,home_decor_organization,lamp,emerging_candidate,1,US,portable mushroom lamp | cordless mushroom table lamp | dome table lamp,mushroom night light | mushroom decor statue,5,2,2,104,12,not_started,unassigned
BT-C021,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,portable_mushroom_table_lamp,Portable mushroom table lamp,无线蘑菇台灯,home_decor_organization,lamp,emerging_candidate,1,CN,无线蘑菇台灯 | 充电蘑菇灯 | 圆顶氛围台灯,蘑菇小夜灯 | 蘑菇摆件,5,2,2,104,12,not_started,unassigned
BT-C022,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,modular_pegboard_organizer,Modular pegboard organizer,模块化洞洞板收纳,home_decor_organization,storage_box,mature_anchor,2,US,modular pegboard organizer | desktop pegboard storage | wall pegboard organizer,garage tool pegboard | perforated acoustic panel,5,2,2,104,12,not_started,unassigned
BT-C022,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,modular_pegboard_organizer,Modular pegboard organizer,模块化洞洞板收纳,home_decor_organization,storage_box,mature_anchor,2,CN,洞洞板收纳 | 模块化洞洞板 | 桌面洞洞板,车库工具板 | 穿孔吸音板,5,2,2,104,12,not_started,unassigned
BT-C023,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,stackable_drawer_storage_bins,Stackable drawer storage bins,可叠加抽屉收纳盒,home_decor_organization,storage_box,stable_control,4,US,stackable drawer storage bins | plastic stacking drawer box | modular drawer organizer,dresser cabinet | open storage bin,5,2,2,104,12,not_started,unassigned
BT-C023,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,stackable_drawer_storage_bins,Stackable drawer storage bins,可叠加抽屉收纳盒,home_decor_organization,storage_box,stable_control,4,CN,可叠加抽屉收纳盒 | 抽屉式收纳箱 | 模块化抽屉盒,斗柜 | 开口收纳筐,5,2,2,104,12,not_started,unassigned
BT-C024,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,sculptural_candle,Sculptural candle,雕塑造型蜡烛,home_decor_organization,home_decor,ambiguity_probe,4,US,sculptural candle | abstract shape candle | decorative body candle,ceramic sculpture | sculptural table lamp,5,2,2,104,12,not_started,unassigned
BT-C024,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,sculptural_candle,Sculptural candle,雕塑造型蜡烛,home_decor_organization,home_decor,ambiguity_probe,4,CN,雕塑蜡烛 | 造型蜡烛 | 艺术香薰蜡烛,陶瓷雕塑 | 雕塑台灯,5,2,2,104,12,not_started,unassigned
BT-C025,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,holiday_projection_lamp,Holiday projection lamp,节日投影灯,home_decor_organization,lamp,seasonal_control,3,US,holiday projection light | christmas projector lamp | outdoor holiday projector,home theater projector | galaxy projector,5,2,2,104,12,not_started,unassigned
BT-C025,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,holiday_projection_lamp,Holiday projection lamp,节日投影灯,home_decor_organization,lamp,seasonal_control,3,CN,节日投影灯 | 圣诞投影灯 | 户外图案投影灯,家庭影院投影仪 | 星空投影灯,5,2,2,104,12,not_started,unassigned
BT-C026,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,handled_insulated_tumbler,Handled insulated tumbler,手柄吸管保温杯,kitchen_drinkware,drinkware,mature_anchor,1,US,handled insulated tumbler | large straw tumbler with handle | vacuum travel tumbler,coffee mug | plastic pitcher,5,2,2,104,12,not_started,unassigned
BT-C026,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,handled_insulated_tumbler,Handled insulated tumbler,手柄吸管保温杯,kitchen_drinkware,drinkware,mature_anchor,1,CN,手柄保温杯 | 大容量吸管保温杯 | 真空车载随行杯,咖啡马克杯 | 塑料水壶,5,2,2,104,12,not_started,unassigned
BT-C027,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,portable_blender_cup,Portable blender cup,便携榨汁杯,kitchen_drinkware,small_appliance,emerging_candidate,2,US,portable blender cup | rechargeable personal blender | travel smoothie blender,protein shaker bottle | full size blender,5,2,2,104,12,not_started,unassigned
BT-C027,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,portable_blender_cup,Portable blender cup,便携榨汁杯,kitchen_drinkware,small_appliance,emerging_candidate,2,CN,便携榨汁杯 | 充电随行果汁杯 | 迷你搅拌杯,蛋白粉摇摇杯 | 台式破壁机,5,2,2,104,12,not_started,unassigned
BT-C028,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,divided_bento_lunch_box,Divided bento lunch box,分格便当盒,kitchen_drinkware,cookware,stable_control,2,US,divided bento lunch box | compartment lunch container | leakproof bento box,disposable meal tray | lunch bag,5,2,2,104,12,not_started,unassigned
BT-C028,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,divided_bento_lunch_box,Divided bento lunch box,分格便当盒,kitchen_drinkware,cookware,stable_control,2,CN,分格便当盒 | 分隔午餐盒 | 防漏饭盒,一次性餐盘 | 保温午餐袋,5,2,2,104,12,not_started,unassigned
BT-C029,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,glass_can_straw_cup,Glass can-shaped straw cup,易拉罐造型玻璃吸管杯,kitchen_drinkware,drinkware,ambiguity_probe,4,US,glass can cup with straw | beer can glass tumbler | bamboo lid glass cup,insulated tumbler | aluminum beverage can,5,2,2,104,12,not_started,unassigned
BT-C029,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,glass_can_straw_cup,Glass can-shaped straw cup,易拉罐造型玻璃吸管杯,kitchen_drinkware,drinkware,ambiguity_probe,4,CN,易拉罐玻璃杯 | 竹盖吸管玻璃杯 | 罐形玻璃杯,保温杯 | 铝制饮料罐,5,2,2,104,12,not_started,unassigned
BT-C030,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,countertop_shaved_ice_machine,Countertop shaved-ice machine,家用刨冰机,kitchen_drinkware,small_appliance,seasonal_control,3,US,countertop shaved ice machine | home snow cone maker | electric ice shaver,countertop ice maker | blender,5,2,2,104,12,not_started,unassigned
BT-C030,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,countertop_shaved_ice_machine,Countertop shaved-ice machine,家用刨冰机,kitchen_drinkware,small_appliance,seasonal_control,3,CN,家用刨冰机 | 电动碎冰机 | 雪花冰机,制冰机 | 榨汁搅拌机,5,2,2,104,12,not_started,unassigned
BT-C031,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,compact_walking_pad,Compact walking pad,家用平板走步机,fitness_outdoor,fitness_equipment,mature_anchor,1,US,compact walking pad | under desk treadmill | foldable walking treadmill,full size running treadmill | balance board,5,2,2,104,12,not_started,unassigned
BT-C031,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,compact_walking_pad,Compact walking pad,家用平板走步机,fitness_outdoor,fitness_equipment,mature_anchor,1,CN,走步机 | 家用平板跑步机 | 办公桌下跑步机,大型跑步机 | 健身平衡板,5,2,2,104,12,not_started,unassigned
BT-C032,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,wearable_wrist_ankle_weights,Wearable wrist and ankle weights,腕踝可穿戴负重环,fitness_outdoor,fitness_equipment,emerging_candidate,2,US,wearable wrist weights | ankle weight bangles | weighted fitness bangles,weighted vest | wrist brace,5,2,2,104,12,not_started,unassigned
BT-C032,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,wearable_wrist_ankle_weights,Wearable wrist and ankle weights,腕踝可穿戴负重环,fitness_outdoor,fitness_equipment,emerging_candidate,2,CN,腕部负重环 | 可穿戴负重块 | 腕踝负重手环,负重背心 | 护腕,5,2,2,104,12,not_started,unassigned
BT-C033,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,resistance_loop_bands,Resistance loop bands,健身环形阻力带,fitness_outdoor,fitness_equipment,stable_control,4,US,resistance loop bands | fabric booty bands | exercise mini bands,long tube resistance band | hair elastic,5,2,2,104,12,not_started,unassigned
BT-C033,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,resistance_loop_bands,Resistance loop bands,健身环形阻力带,fitness_outdoor,fitness_equipment,stable_control,4,CN,环形阻力带 | 健身弹力圈 | 翘臀弹力带,长管拉力器 | 发圈,5,2,2,104,12,not_started,unassigned
BT-C034,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,fitness_balance_board,Fitness balance board,健身平衡板,fitness_outdoor,fitness_equipment,ambiguity_probe,4,US,fitness balance board | wooden wobble board | standing desk balance board,skateboard deck | toddler rocker board,5,2,2,104,12,not_started,unassigned
BT-C034,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,fitness_balance_board,Fitness balance board,健身平衡板,fitness_outdoor,fitness_equipment,ambiguity_probe,4,CN,健身平衡板 | 木质摇摆板 | 站立办公平衡板,滑板板面 | 儿童摇摇板,5,2,2,104,12,not_started,unassigned
BT-C035,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,pickleball_paddle_set,Pickleball paddle set,匹克球拍套装,fitness_outdoor,outdoor_accessory,seasonal_control,3,US,pickleball paddle set | pickleball paddles and balls | outdoor pickleball kit,tennis racket | table tennis paddle,5,2,2,104,12,not_started,unassigned
BT-C035,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,pickleball_paddle_set,Pickleball paddle set,匹克球拍套装,fitness_outdoor,outdoor_accessory,seasonal_control,3,CN,匹克球拍 | 匹克球套装 | 匹克球拍和球,网球拍 | 乒乓球拍,5,2,2,104,12,not_started,unassigned
BT-C036,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,pet_backpack_carrier,Pet backpack carrier,宠物背包猫包,pet_lifestyle,pet_accessory,mature_anchor,1,US,pet backpack carrier | cat backpack carrier | ventilated pet travel backpack,human hiking backpack | front baby carrier,5,2,2,104,12,not_started,unassigned
BT-C036,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,pet_backpack_carrier,Pet backpack carrier,宠物背包猫包,pet_lifestyle,pet_accessory,mature_anchor,1,CN,宠物背包 | 猫包 | 透气宠物外出包,人用登山包 | 婴儿背带,5,2,2,104,12,not_started,unassigned
BT-C037,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,interactive_rolling_pet_ball,Interactive rolling pet ball,自动滚动宠物球,pet_lifestyle,pet_accessory,emerging_candidate,2,US,interactive rolling pet ball | automatic cat toy ball | rechargeable moving pet ball,ordinary rubber pet ball | robot vacuum,5,2,2,104,12,not_started,unassigned
BT-C037,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,interactive_rolling_pet_ball,Interactive rolling pet ball,自动滚动宠物球,pet_lifestyle,pet_accessory,emerging_candidate,2,CN,自动滚动逗猫球 | 电动宠物球 | 充电智能宠物球,普通橡胶宠物球 | 扫地机器人,5,2,2,104,12,not_started,unassigned
BT-C038,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,elevated_pet_bowl,Elevated pet bowl,高脚宠物碗,pet_lifestyle,pet_accessory,stable_control,2,US,elevated pet bowl | raised cat bowl | elevated dog feeder,human pedestal bowl | pet bowl mat,5,2,2,104,12,not_started,unassigned
BT-C038,2026-09-17,16c909e40407677f2ee4c36ae1047570ca7f9e68859c2be45c1d96ae2e03f575,elevated_pet_bowl,Elevated pet bowl,高脚宠物碗,pet_lifestyle,pet_accessory,stable_control,2,CN,高脚宠物碗 | 宠物抬高碗 | 高架猫碗,人用高脚碗 | 宠物餐垫,5,2,2,104,12,not_started,unassigned
